26887,12224,4,1348272000.0
7853,26106,5,1340951446.0
29578,24443,5,1362360796.0
19242,29527,5,1345862859.0
9662,3716,5,1364175628.0
21395,12617,4,1373940001.0
28015,8004,5,1391563428.0
27057,5404,4,1347585958.0
14196,28940,2,1366815040.0
28287,27104,4,1346518903.0
24495,3319,2,1280500384.0
25160,17644,5,1391703171.0
18391,14912,2,1366852801.0
3074,26777,5,1380331036.0
6095,17963,2,1344062877.0
5274,19290,4,1371678449.0
1318,25560,5,1331528404.0
19905,11961,5,1349568000.0
19033,21020,3,1340490167.0
5191,3175,1,1382935792.0
14250,25599,4,1318532847.0
3501,13851,3,1388960374.0
5621,14819,3,1351978446.0
8625,14367,1,1393874409.0
11671,31130,5,1317421832.0
936,25,5,1353880351.0
2229,12511,2,1340685560.0
951,22482,4,1383073193.0
28316,15201,5,1380211788.0
5263,30501,5,1376552777.0
18825,2625,5,1391215084.0
28455,24498,5,1333554608.0
5318,9338,5,1379112999.0
9832,18935,5,1361577367.0
2877,15595,5,1381421378.0
24914,3891,5,1339593640.0
27265,14693,1,1378470771.0
13200,17717,5,1389904785.0
11801,21676,4,1374969958.0
4078,5700,4,1370380169.0
29894,23114,3,1367703661.0
25769,20419,5,1313026841.0
13641,21261,4,1311336280.0
20399,30342,5,1346168250.0
27668,1432,5,1351620288.0
14693,25229,4,1376788149.0
11892,30700,5,1375888401.0
8690,29342,5,1380887978.0
23501,24658,5,1306098025.0
29241,1727,4,1392013217.0
8334,14472,4,1379892505.0
27241,20948,4,1384632127.0
27570,5277,1,1381814201.0
11964,28234,5,1370356697.0
26073,2491,4,1349988441.0
29241,22288,4,1393276405.0
23962,27687,5,1339017055.0
12863,29810,4,1341977419.0
11479,26552,3,1367196218.0
3568,5808,5,1354483977.0
16825,16742,4,1364132712.0
8628,9519,3,1340489462.0
25527,321,3,1308717952.0
1528,4403,1,1393619464.0
7446,4692,5,1382279484.0
1231,25004,4,1378987218.0
18602,20690,4,1338655549.0
12240,4480,2,1374919822.0
6669,6110,4,1321230093.0
19366,2381,5,1375595592.0
13227,22019,5,1273981150.0
7492,25985,4,1307703066.0
15272,27732,5,1381186653.0
16433,522,5,1386462530.0
23267,28825,5,1375031215.0
205,7770,3,1357345551.0
2910,7292,1,1390759703.0
4095,13338,3,1359697495.0
2647,26451,5,1377550161.0
24797,25801,5,1345763355.0
10386,5725,5,1382352601.0
25585,28876,3,1364144320.0
21879,25869,1,1380861981.0
1486,7524,4,1386053222.0
19531,17274,5,1390081711.0
10378,27888,3,1377394986.0
3115,13083,4,1394733773.0
11546,13130,5,1369598856.0
28355,12853,5,1329764032.0
81,21117,4,1354692479.0
14169,19509,5,1290990395.0
22792,30159,4,1330528407.0
8644,21942,4,1297350916.0
19155,10422,3,1319674804.0
19060,31963,5,1343192633.0
29470,6337,3,1371631108.0
9976,26611,1,1393131325.0
8943,8839,2,1357246120.0
14881,6834,2,1361466490.0
1764,29427,3,1392480853.0
23043,9312,5,1341441179.0
26348,15905,4,1331848233.0
17812,12465,5,1374419957.0
